Période,0_x,0_y
2012-05-01,Technologie et équipements musicaux,99.87904386791794
2012-06-01,Actualités internationales,98.52401169651021
2012-07-01,Agendas et événementiel,66.38719137812654
2012-08-01,Jeux de table,99.98734732905713
2012-09-01,Skateboard et rollers,99.54409567881125
2012-10-01,Annuaires et répertoires,99.72578593138955
2012-11-01,Sports extrêmes,58.75491219293316
2012-12-01,Administrations,96.6943932106192
2013-01-01,Musique classique,99.60457587844638
2013-02-01,Agendas et événementiel,83.02098361082244
2013-03-01,Transport maritime,17.29670823351206
2013-04-01,Armée de terre,81.79051248607225
2013-05-01,Sécurité réseau,99.96409545281723
2013-06-01,Clipart et GIF animés,99.93060146026568
2013-07-01,Mise en réseau,99.68854591662404
2013-08-01,Islam,64.2475453492845
2013-09-01,Services de marketing,97.92072020140415
2013-10-01,Automatisation industrielle,99.70671931101874
2013-11-01,Plongée et activités sous-marines,98.85768535034545
2013-12-01,Offres d'emploi,99.54426191715193
2014-01-01,Sciences de l'atmosphère,98.24731235897539
2014-02-01,Chambres et salles de bain,96.12878004662024
2014-03-01,Patin à glace,95.9593888951392
2014-04-01,Traitement de l'alcoolisme et de la toxicomanie,67.6028723682788
2014-05-01,Informations locales,99.47607806672845
2014-06-01,Appareils ménagers,98.70454102142124
2014-07-01,Programmes et émissions TV,99.27730946123388
2014-08-01,Grossistes et liquidateurs,98.87922728027527
2014-09-01,Dessins animés et mangas,95.79872638457701
2014-10-01,Santé féminine,99.11559256038574
2014-11-01,Microvoitures et citadines,99.73932145209778
2014-12-01,Théologie et étude des religions,98.75802485742281
2015-01-01,Permis et immatriculation des véhicules,96.61502462461671
2015-02-01,Hyundai,99.73111151351996
2015-03-01,Musique religieuse,84.58462468133486
2015-04-01,Jaguar,92.25434702789649
2015-05-01,Bandes-son,99.84447106053776
2015-06-01,Contenus pour bricoleurs et utilisateurs expérimentés,98.47072987880112
2015-07-01,Antivirus et protection contre les programmes malveillants,99.73802716857081
2015-08-01,Abus de substances illégales ou toxiques,99.99821210575617
2015-09-01,Opérateurs de téléphonie,99.9883405138073
2015-10-01,Supports en ligne,99.38935167347226
2015-11-01,Droit du travail et de l'emploi,99.73688329076131
2015-12-01,Gestion de la douleur,99.47075544209521
2016-01-01,Accessoires électroniques,99.37275061007993
2016-02-01,Transactions sur matières premières et opérations à terme,99.745635656433
2016-03-01,Technologies assistives,95.13703159836474
2016-04-01,Vauxhall-Opel,99.66369049531144
2016-05-01,Stéroïdes et produits dopants,66.23065931814249
2016-06-01,Moteurs de recherche,98.95163425640423
2016-07-01,Références géographiques,99.45576392911052
2016-08-01,Amélioration des performances sexuelles,57.72378914762635
2016-09-01,Campagnes et élections,99.00818785141692
2016-10-01,Jeux de combat,99.95797622046913
2016-11-01,Urbanisme et aménagement du territoire,99.99127144883936
2016-12-01,Références générales,99.9781854841744
2017-01-01,Rhume et grippe,93.96901099575268
2017-02-01,Jeux de simulation,99.72650934448686
2017-03-01,Teintures et colorants,97.91074934617728
2017-04-01,Chapeaux,95.77973403637509
2017-05-01,Sites et bâtiments historiques,94.64068786346432
2017-06-01,Soin de la peau et des ongles,95.68692692205839
2017-07-01,Puzzles et casse-tête,67.75323416726594
2017-08-01,Nettoyage du corps et désintoxication,99.90947357632454
2017-09-01,Philosophie,98.88328037160869
2017-10-01,Services et établissements médicaux,99.9665923444145
2017-11-01,Groupes ethniques et identitaires,96.43584287210399
2017-12-01,Roues et pneus pour véhicules,49.46561635568941
2018-01-01,Clubs et associations,99.83947765025079
2018-02-01,Paléontologie,94.81498085966908
2018-03-01,Enquêtes et sondages politiques,62.85201887069916
2018-04-01,Maladies sexuellement transmissibles,92.08921869365685
2018-05-01,Campagnes et élections,99.57186916322792
2018-06-01,Chirurgie,99.67686031695716
2018-07-01,Rolls-Royce,96.7102722752282
2018-08-01,Chrysler,99.45831780876871
2018-09-01,Open Source,99.90497410577372
2018-10-01,Production alimentaire,94.59449528958085
2018-11-01,Camping-cars et véhicules aménagés,99.0929262758393
2018-12-01,Politique publique,99.83973934345485
2019-01-01,Mode et tendances,99.61853059061393
2019-02-01,Handball,90.7172981381684
2019-03-01,Sports,98.26103744334017
2019-04-01,Gestion des risques,79.7303859226826
2019-05-01,Arts du spectacle,88.15117276011055
2019-06-01,Hummers,98.08219066076212
2019-07-01,Énergies renouvelables et alternatives,99.82713064182391
2019-08-01,Mondes virtuels,99.58853266413067
2019-09-01,Équipement radio,99.94640949020551
2019-10-01,Rangements et étagères,99.80156524728451
2019-11-01,Langages de script,96.39415809488435
2019-12-01,Chats,98.45718399217778
2020-01-01,Règles et lois relatives à la drogue,96.96782966274654
2020-02-01,Compagnies d'électricité,99.49997521891562
2020-03-01,Agences gouvernementales,31.35399465825156
2020-04-01,Actualités,98.61785277226487
2020-05-01,Technologie et équipements musicaux,82.56834179806692
2020-06-01,Cuisines du monde,99.94213722919217
2020-07-01,Emballage,95.64134833517056
2020-08-01,Latinos et latino-américains,95.79285665764107
2020-09-01,Politique sanitaire,61.7121381099021
2020-10-01,Aviation,98.44880136641407
