Période,0_x,0_y
2006-01-01,Signalétique,99.1651706044663
2006-02-01,Technologie spatiale,99.76898915341616
2006-03-01,Audi,84.2428589077994
2006-04-01,Systèmes d'exploitation,99.81877638981716
2006-05-01,Cascades et exploits dangereux,84.71567971262199
2006-06-01,Scooters et cyclomoteurs,45.143439213482566
2006-07-01,Cartes géographiques,99.29835929593173
2006-08-01,Sciences de l'eau et océanographie,77.19589334247569
2006-09-01,Santé et sécurité au travail,99.67773977156709
2006-10-01,Bus et trains,94.49489242028065
2006-11-01,Dictionnaires et encyclopédies,99.81455474452288
2006-12-01,Tapis,99.16556750348131
2007-01-01,Dépistage de l'alcoolisme et de la toxicomanie,99.95257831668293
2007-02-01,Mode et mannequinat,98.80493630476325
2007-03-01,Génie civil,77.19929699659212
2007-04-01,Recherche de personnes,84.93483158578833
2007-05-01,Lincoln,96.66038868346324
2007-06-01,Actualités internationales,94.63979497331809
2007-07-01,Blogs et sites personnels,91.83876654987947
2007-08-01,Apprentissage automatique et intelligence artificielle,98.54830160372805
2007-09-01,Centres d'intérêt des enfants,99.75303703344122
2007-10-01,Petites annonces pour rencontres,96.64803804681027
2007-11-01,Danse,98.58175607606145
2007-12-01,Livres numériques,99.98228002490671
2008-01-01,Enseignement artistique,99.87514938121943
2008-02-01,Musique pop,99.56677330498178
2008-03-01,Banque d'affaires,99.87315927328858
2008-04-01,Annonces immobilières,99.98156037864632
2008-05-01,Radio,59.36676123288149
2008-06-01,Covoiturage,94.86026591566657
2008-07-01,Diabète,99.85513696496643
2008-08-01,Radio,97.52844547468236
2008-09-01,Production alimentaire,98.70227783202651
2008-10-01,Animaux de compagnie,99.64375070876733
2008-11-01,Articles de fêtes et célébrations,99.21819166704184
2008-12-01,Programmes d'affiliation,90.94628159542539
2009-01-01,Jeux,98.63663388081261
2009-02-01,Critiques de produits et comparateurs de prix,99.89575419615306
2009-03-01,Bandes-son,45.7566647443602
2009-04-01,Hygiène et articles de toilette,99.70429583370034
2009-05-01,Associations et rassemblements d'anciens élèves,90.16778064325871
2009-06-01,Rhume et grippe,99.44366452596961
2009-07-01,Jeux de plateau,99.43007127671791
2009-08-01,Droit pénal,92.72200168501003
2009-09-01,Droit du travail et de l'emploi,99.86200988063563
2009-10-01,Éducation et conseils sexuels,99.23181967843159
2009-11-01,Santé et sécurité au travail,98.9442515208143
2009-12-01,Import-export,96.02553166738541
2010-01-01,Petites annonces pour rencontres,89.6187251289228
2010-02-01,Sciences de l'atmosphère,98.45018472460154
2010-03-01,Arabes et Moyen-Orientaux,99.34634425624374
2010-04-01,Éthique-,99.88024108207581
2010-05-01,Automatisation industrielle,99.92355539995334
2010-06-01,Composants électroniques,99.94548140129427
2010-07-01,Génie civil,99.26305269854235
2010-08-01,Heure et calendriers,99.14393645180843
2010-09-01,Grossistes et liquidateurs,99.95078974146712
2010-10-01,Équipements et appareils médicaux,99.92210820459199
2010-11-01,Informations locales,98.36942218343492
2010-12-01,Jeux de cartes à collectionner,99.84785331870158
2011-01-01,Jardin d'enfants et salles de jeu,98.93569732632282
2011-02-01,Critiques de produits et comparateurs de prix,99.86155595980665
2011-03-01,Armée,76.47782395040446
2011-04-01,Services et articles de nettoyage,99.7285653232809
2011-05-01,Allergies,96.55826747491075
2011-06-01,Discrimination et relations identitaires,91.61075846544314
2011-07-01,Cascades et exploits dangereux,62.295866949776986
2011-08-01,"Concours, prix et trophées",95.61081495427854
2011-09-01,Science-fiction et fantastique,99.00588736278999
2011-10-01,Athlétisme,82.44020258919613
2011-11-01,Rugby,65.70597947398838
2011-12-01,Planification financière,87.68793538755384
2012-01-01,Musique en streaming et en téléchargement,99.86332669684874
2012-02-01,Responsabilité du fait des produits,99.71162891669847
2012-03-01,Conception,99.90196791525007
2012-04-01,Véhicules anciens,99.76895312535176
