,id,name,level,parent
0,0,Toutes catégories,1,nul
71,3,Arts et divertissements,2,nul
582,5,Informatique et électronique,2,nul
376,7,Finance,2,nul
748,8,Jeux,2,nul
856,11,Maison et jardinage,2,nul
897,12,Marchés commerciaux et industriels,2,nul
717,13,Internet et télécoms,2,nul
483,14,Individus et société,2,nul
1,16,Actualités,2,nul
1226,18,Shopping,2,nul
787,19,Justice et administrations,2,nul
1352,20,Sports,2,nul
846,22,Livres et littérature,2,nul
80,23,Arts du spectacle,3,Arts et divertissements
90,24,Design et arts visuels,3,Arts et divertissements
988,25,Marketing et publicité,3,Marchés commerciaux et industriels
1022,28,Services de bureautique,4,Marchés commerciaux et industriels
474,29,Immobilier,2,nul
667,30,Matériel informatique,3,Informatique et électronique
701,31,Programmation,3,Informatique et électronique
633,32,Logiciels,3,Informatique et électronique
152,33,Insolite,3,Arts et divertissements
113,34,Films,3,Arts et divertissements
155,35,Musique et audio,3,Arts et divertissements
225,36,TV et vidéo,3,Arts et divertissements
381,37,Banque,3,Finance
377,38,Assurance,3,Finance
750,39,Jeux de cartes,3,Jeux
766,41,Jeux vidéo et informatiques,3,Jeux
163,42,Jazz,5,Arts et divertissements
331,43,Cadeaux en ligne,3,Communautés en ligne
1329,44,Soins du corps et remise en forme,2,nul
1092,45,Santé,2,nul
918,46,Agriculture et sylviculture,3,Marchés commerciaux et industriels
242,47,Automobiles et véhicules,2,nul
929,48,Construction et maintenance,3,Marchés commerciaux et industriels
958,49,Fabrication,3,Marchés commerciaux et industriels
1038,50,Transport et logistique,3,Marchés commerciaux et industriels
743,53,Hébergement Web et enregistrement de noms de domaine,4,Internet et télécoms
533,54,Problèmes sociaux et militantisme,3,Individus et société
340,55,Rencontres,3,Communautés en ligne
515,56,Groupes ethniques et identitaires,3,Individus et société
534,57,Associations caritatives et philanthropie,4,Individus et société
501,58,Éducation des enfants,5,Individus et société
552,59,Religions et croyances,3,Individus et société
350,60,Emploi,3,Emploi et enseignement
1304,61,Petites annonces,3,Shopping
21,63,Météo,3,Actualités
427,64,Antiquités et objets de collection,3,Hobbies et loisirs
398,65,Hobbies et loisirs,2,nul
54,66,Animaux et animaux de compagnie,2,nul
1398,67,Voyages,2,nul
1280,68,Habillement,3,Shopping
1308,69,Ressources pour les consommateurs,3,Shopping
1233,70,Cadeaux et articles pour événements spéciaux,3,Shopping
29,71,Alimentation et boissons,2,nul
1278,73,Grands magasins et hypermarchés,3,Shopping
355,74,Enseignement,3,Emploi et enseignement
815,75,Droit,3,Justice et administrations
788,76,Administrations,3,Justice et administrations
711,77,Technologies d'entreprise,3,Informatique et électronique
593,78,Électronique grand public,3,Informatique et électronique
544,82,Problèmes environnementaux,4,Individus et société
991,83,Services de marketing,4,Marchés commerciaux et industriels
744,84,Optimisation du référencement et liens sponsorisés,4,Internet et télécoms
309,89,Pièces et accessoires pour véhicule,3,Automobiles et véhicules
608,91,Systèmes et composants stéréos,5,Informatique et électronique
1348,93,Soin de la peau et des ongles,4,Soins du corps et remise en forme
1338,94,Remise en forme,3,Soins du corps et remise en forme
1004,95,Fournitures de bureau,4,Marchés commerciaux et industriels
475,96,Agences immobilières,3,Immobilier
1312,97,Défense et protection des consommateurs,4,Shopping
1333,98,Collections et créateurs de mode,4,Soins du corps et remise en forme
1235,99,Cadeaux,4,Shopping
1236,100,Cartes de vœux et autres cartes,4,Shopping
567,101,Spiritualité,4,Individus et société
341,102,Petites annonces pour rencontres,4,Communautés en ligne
734,104,Fournisseurs d'accès Internet,4,Internet et télécoms
761,105,Jeux en ligne,3,Jeux
394,107,Investissements,3,Finance
1075,108,Ressources linguistiques,3,Références
7,112,Actualités des TV et radios,3,Actualités
530,113,"Lesbiennes, gays, bisexuels et transsexuels",4,Individus et société
504,115,Hygiène et soin des nourrissons,7,Individus et société
1361,118,Sports aquatiques,3,Sports
64,119,Faune,3,Animaux et animaux de compagnie
864,120,Vaisselle et ustensiles de cuisine,4,Maison et jardinage
49,121,Épiceries et magasins d'alimentation,3,Alimentation et boissons
38,122,Cuisine et recettes,3,Alimentation et boissons
1307,123,Produits du tabac,3,Shopping
1281,124,Accessoires vestimentaires,4,Shopping
896,137,Travaux manuels et décoration intérieure,3,Maison et jardinage
251,138,Entretien des véhicules,3,Automobiles et véhicules
1343,143,Soins du visage et du corps,3,Soins du corps et remise en forme
1344,144,Épilation corporelle et faciale,4,Soins du corps et remise en forme
1350,145,Thalassothérapie et soin du corps,3,Soins du corps et remise en forme
1341,146,Soins capillaires,3,Soins du corps et remise en forme
1331,147,Cosmétique et professionnels de la beauté,3,Soins du corps et remise en forme
327,148,Véhicules tout terrain,3,Automobiles et véhicules
487,154,Enfants et adolescents,3,Individus et société
906,157,Ressources humaines,4,Marchés commerciaux et industriels
887,158,Travaux d'intérieur,3,Maison et jardinage
829,166,Sécurité publique,3,Justice et administrations
842,168,Services d'urgence,4,Justice et administrations
304,170,Permis et immatriculation des véhicules,3,Automobiles et véhicules
532,171,Indiens d'Amérique,5,Individus et société
1189,174,Sciences,2,nul
1412,179,Hôtels et hébergements,3,Voyages
1394,180,Sports mécaniques,3,Sports
139,182,Humour,3,Arts et divertissements
4,184,Actualités des célébrités et du monde du spectacle,3,Actualités
1332,185,Mode et tendances,3,Soins du corps et remise en forme
434,188,Clubs et vie nocturne,3,Hobbies et loisirs
433,189,Clubs et associations,3,Hobbies et loisirs
346,191,Services de forum et de chat,3,Communautés en ligne
1155,195,Santé génésique,3,Santé
1157,198,Contraception,4,Santé
1164,202,Troubles de l'érection,4,Santé
1423,203,Voyages aériens,3,Voyages
1413,205,Location de voitures et taxis,3,Voyages
1402,206,Croisières et affrètements,3,Voyages
1403,208,Destinations touristiques,3,Voyages
137,210,Vente de vidéos et DVD,4,Arts et divertissements
222,211,Vidéo en ligne,4,Arts et divertissements
136,213,Souvenirs cinématographiques,4,Arts et divertissements
190,215,Radio,4,Arts et divertissements
206,216,Instruments de musique,5,Arts et divertissements
211,217,Vente de CD et audio,4,Arts et divertissements
156,218,Arts et souvenirs musicaux,4,Arts et divertissements
167,220,Musique en streaming et en téléchargement,4,Arts et divertissements
666,224,Utilitaires logiciels,4,Informatique et électronique
660,225,Pilotes de périphériques,4,Informatique et électronique
670,226,Mémoire informatique,5,Informatique et électronique
606,227,Lecteurs MP3 et multimédias portables,5,Informatique et électronique
631,228,Ordinateurs de poche et assistants personnels,5,Informatique et électronique
615,229,Équipement TV et vidéo,4,Informatique et électronique
312,230,Systèmes audio pour voiture,5,Automobiles et véhicules
1222,231,Technologie et ingénierie,3,Sciences
943,233,Énergie et services collectifs,3,Marchés commerciaux et industriels
1346,234,Maquillage et cosmétiques,4,Soins du corps et remise en forme
1342,235,Calvitie,4,Soins du corps et remise en forme
1337,236,Régimes amaigrissants,3,Soins du corps et remise en forme
1144,237,Vitamines et compléments,4,Santé
1336,238,Chirurgie esthétique,4,Soins du corps et remise en forme
1349,239,Tatouages & piercings,3,Soins du corps et remise en forme
1339,241,Culturisme,4,Soins du corps et remise en forme
1347,242,Parfums et fragrances,4,Soins du corps et remise en forme
1345,244,Hygiène et articles de toilette,4,Soins du corps et remise en forme
1186,245,Soins bucco-dentaires,3,Santé
1145,246,Ophtalmologie,3,Santé
1150,248,Pharmacie,3,Santé
380,249,Assurance maladie,4,Finance
1179,250,Hôpitaux et cliniques,4,Santé
1101,251,Équipements et appareils médicaux,3,Santé
1104,252,Fondations pour la santé et la recherche médicale,3,Santé
1105,253,Littérature et ressources médicales,3,Santé
1100,254,Éducation sanitaire et formation médicale,3,Santé
998,255,Produits pharmaceutiques et biotechnologie,3,Marchés commerciaux et industriels
1177,256,Services et établissements médicaux,3,Santé
1093,257,Abus de substances illégales ou toxiques,3,Santé
1367,258,Football américain,4,Sports
1363,259,Baseball,4,Sports
1369,260,Hockey,4,Sports
1389,261,Golf,4,Sports
1392,262,Sports de raquette,4,Sports
1228,263,Articles de sport,3,Shopping
1364,264,Basketball,4,Sports
1373,265,Sports d'hiver,3,Sports
1069,268,Cartes géographiques,4,Références
878,269,Jardinage et aménagement paysager,3,Maison et jardinage
880,270,Mobilier de maison,3,Maison et jardinage
857,271,Appareils ménagers,3,Maison et jardinage
883,272,Lampes et luminaires,4,Maison et jardinage
303,273,Motos,3,Automobiles et véhicules
336,275,Partage de photos et vidéos,3,Communautés en ligne
50,276,Restaurants,3,Alimentation et boissons
30,277,Boissons alcoolisées,3,Alimentation et boissons
385,278,Comptabilité et audit,3,Finance
388,279,Crédit et prêt,3,Finance
716,280,Services marchands et systèmes de paiement,5,Informatique et électronique
428,284,Artisanat,3,Hobbies et loisirs
952,287,Équipements et matériaux industriels,3,Marchés commerciaux et industriels
969,288,Industrie chimique,3,Marchés commerciaux et industriels
1045,289,Fret et transport routier,4,Marchés commerciaux et industriels
1044,290,Emballage,4,Marchés commerciaux et industriels
1040,291,Déménagement et installation,4,Marchés commerciaux et industriels
1328,292,Ventes aux enchères,3,Shopping
447,293,Mariages,4,Hobbies et loisirs
1366,294,Football,4,Sports
1365,296,Cricket,4,Sports
37,297,Cours de cuisine,3,Alimentation et boissons
578,298,Seniors et retraités,3,Individus et société
329,299,Communautés en ligne,2,nul
740,301,Portails Web,3,Internet et télécoms
741,302,Services Web,3,Internet et télécoms
661,303,Systèmes d'exploitation,4,Informatique et électronique
646,304,Navigateurs et clients Internet,5,Informatique et électronique
622,305,Télévisions,5,Informatique et électronique
463,306,Appareils photo et caméscopes,5,Hobbies et loisirs
464,307,Appareils photo,6,Hobbies et loisirs
465,308,Caméscopes,6,Hobbies et loisirs
672,309,Ordinateurs de bureau,4,Informatique et électronique
673,310,Ordinateurs portables et notebooks,4,Informatique et électronique
695,311,Mise en réseau,3,Informatique et électronique
675,312,Périphériques pour ordinateur,4,Informatique et électronique
658,313,Open Source,4,Informatique et électronique
708,314,Sécurité informatique,3,Informatique et électronique
709,315,Antivirus et protection contre les programmes malveillants,4,Informatique et électronique
85,316,Bandes dessinées et animations,3,Arts et divertissements
88,317,Dessins animés et mangas,4,Arts et divertissements
86,318,Bandes dessinées,4,Arts et divertissements
87,319,Dessins animés,4,Arts et divertissements
343,320,Sites de classement de photos,4,Communautés en ligne
339,321,Partage et hébergement de fichiers,3,Communautés en ligne
1237,323,Fleurs,4,Shopping
1234,324,Articles de fêtes et célébrations,4,Shopping
745,326,Programmes d'affiliation,4,Internet et télécoms
990,327,Relations publiques,4,Marchés commerciaux et industriels
993,328,Télémarketing,4,Marchés commerciaux et industriels
999,329,Services professionnels,3,Marchés commerciaux et industriels
908,330,Recrutement et gestion du personnel,5,Marchés commerciaux et industriels
907,331,Formation interne,5,Marchés commerciaux et industriels
967,332,Services documentaires et d'impression,4,Marchés commerciaux et industriels
1012,333,Mobilier d'entreprise,5,Marchés commerciaux et industriels
1002,334,Événements d'entreprise,4,Marchés commerciaux et industriels
1003,335,Salons professionnels et conventions,5,Marchés commerciaux et industriels
905,336,Présentations commerciales et programmes d'action,4,Marchés commerciaux et industriels
1023,337,Gestion des infrastructures et des bureaux,5,Marchés commerciaux et industriels
899,338,Gestion,4,Marchés commerciaux et industriels
715,340,Services de commerce électronique,4,Informatique et électronique
712,341,Gestion de la relation clientèle (GRC),4,Informatique et électronique
714,342,Progiciels de gestion intégrés,4,Informatique et électronique
713,343,Gestion des données,4,Informatique et électronique
710,344,Sécurité réseau,4,Informatique et électronique
697,346,Équipement réseau,4,Informatique et électronique
696,347,Administration et surveillance des réseaux,4,Informatique et électronique
1283,350,Pierres précieuses et bijoux,5,Shopping
1311,352,Comparatifs de prix,5,Shopping
1309,353,Critiques de produits et comparateurs de prix,4,Shopping
1048,354,Import-export,4,Marchés commerciaux et industriels
849,355,Librairies,3,Livres et littérature
939,356,Défense et industrie aérospatiale,3,Marchés commerciaux et industriels
230,357,Feuilletons TV,6,Arts et divertissements
227,358,Programmes et émissions TV,4,Arts et divertissements
226,359,Chaînes et bouquets de télévision,4,Arts et divertissements
114,360,Cinéma indien et pakistanais,4,Arts et divertissements
604,361,Équipement audio,4,Informatique et électronique
627,362,Gadgets et appareils électroniques portables,4,Informatique et électronique
436,364,Lotos et loteries,4,Hobbies et loisirs
1313,365,Réductions et remises,4,Shopping
808,366,Armée,3,Justice et administrations
358,367,Cours par correspondance,4,Emploi et enseignement
371,369,Formation professionnelle et continue,4,Emploi et enseignement
366,371,Enseignement primaire et secondaire,4,Emploi et enseignement
361,372,Écoles et universités,4,Emploi et enseignement
375,373,Tests d'admission et standardisés,4,Emploi et enseignement
1067,374,Ressources pédagogiques,4,Références
1057,375,Bibliothèques et musées,3,Références
1056,377,Annuaires professionnels et particuliers,4,Références
480,378,Location de maisons et d'appartements,3,Immobilier
68,379,Accessoires et aliments pour animaux,4,Animaux et animaux de compagnie
70,380,Vétérinaires,4,Animaux et animaux de compagnie
784,381,Astuces et conseils pour jeux,5,Jeux
718,382,Appareils mobiles et sans fil,3,Internet et télécoms
732,383,Fournisseurs d'accès et opérateurs,3,Internet et télécoms
735,384,Opérateurs de téléphonie,4,Internet et télécoms
730,385,Équipement de communication,3,Internet et télécoms
727,386,Chat vocal et vidéo,4,Internet et télécoms
736,389,Cartes prépayées,5,Internet et télécoms
724,390,Téléphones mobiles,4,Internet et télécoms
747,392,Téléconférence,3,Internet et télécoms
726,394,E-mail et messagerie,3,Internet et télécoms
22,396,Politique,3,Actualités
23,398,Campagnes et élections,4,Actualités
500,400,Ascendance et généalogie,5,Individus et société
1154,401,Grossesse et maternité,5,Santé
505,402,Camps de vacances,6,Individus et société
507,403,Puériculture,6,Individus et société
32,404,Bière,4,Alimentation et boissons
33,405,Vin,4,Alimentation et boissons
31,406,Alcool,4,Alimentation et boissons
20,408,Journaux,3,Actualités
27,409,Politiques de droite,4,Actualités
28,410,Politiques de gauche,4,Actualités
853,412,Magazines,3,Livres et littérature
1148,418,Personnel infirmier,3,Santé
1107,419,Maladies,3,Santé
1115,420,Maladies de la peau,4,Santé
1161,421,Maladies sexuellement transmissibles,4,Santé
742,422,Conception et développement Web,4,Internet et télécoms
824,423,Faillites,4,Justice et administrations
822,424,Droit pénal,4,Justice et administrations
478,425,Gestion immobilière,3,Immobilier
826,426,Propriété intellectuelle,4,Justice et administrations
825,427,Loi sur les accidents et les dommages aux personnes,4,Justice et administrations
1294,428,T-Shirts,5,Shopping
1111,429,Cancer,4,Santé
1303,432,Jouets,3,Shopping
1081,433,Histoire,4,Références
584,434,Appareils électroniques et électriques,3,Informatique et électronique
1190,435,Astronomie,3,Sciences
1213,436,Mathématiques,3,Sciences
1167,437,Santé mentale,3,Santé
318,438,Roues et pneus pour véhicules,4,Automobiles et véhicules
461,439,Photographie et arts numériques,3,Hobbies et loisirs
1191,440,Biologie,3,Sciences
1221,441,Sciences de l'eau et océanographie,4,Sciences
1198,442,Écologie et environnement,3,Sciences
1217,443,Géologie,4,Sciences
1215,444,Physique,3,Sciences
1200,445,Équipement scientifique,3,Sciences
1212,446,Institutions scientifiques,3,Sciences
110,447,Divertissements Flash,4,Arts et divertissements
553,448,Astrologie et arts divinatoires,4,Individus et société
154,449,Surnaturel et paranormal,4,Arts et divertissements
1314,450,Services aux consommateurs,4,Shopping
1316,451,Garanties et contrats de service,5,Shopping
1141,456,Nutrition,3,Santé
1142,457,Régimes spéciaux et restrictifs,4,Santé
439,458,Cyclisme,3,Hobbies et loisirs
405,459,Nautisme,4,Hobbies et loisirs
400,461,Chasse et tir,4,Hobbies et loisirs
402,462,Pêche,4,Hobbies et loisirs
